"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",139,41,70,74,24,NA,NA,NA,NA
"2 or more copies",138,40,69,74,24,NA,NA,NA,NA
"3 or more copies",137,39,68,74,24,NA,NA,NA,NA
"4 or more copies",136,39,68,73,24,NA,NA,NA,NA
"5 or more copies",135,39,68,72,24,NA,NA,NA,NA
"6 or more copies",134,39,67,71,24,NA,NA,NA,NA
"7 or more copies",133,38,66,71,24,NA,NA,NA,NA
"8 or more copies",132,38,65,70,24,NA,NA,NA,NA
"9 or more copies",131,38,64,69,24,NA,NA,NA,NA
"10 or more copies",130,38,63,68,24,NA,NA,NA,NA
